ticker,expirationDate,optionType,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL,2025-11-07,put,AAPL251107P00275000,2025-11-06 20:59:39+00:00,275.0,5.45,4.95,5.65,0.2999997,5.8252373,6426.0,3891,0.362311064453125,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00277500,2025-11-06 20:59:48+00:00,277.5,7.77,7.4,8.0,0.32000017,4.2953043,323.0,683,0.415044912109375,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00280000,2025-11-06 20:54:40+00:00,280.0,10.0,9.65,10.7,0.18999958,1.9367949,152.0,4189,0.5898478515625001,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00282500,2025-11-06 20:54:40+00:00,282.5,12.5,12.1,13.3,-0.13000011,-1.0292963,11.0,26,0.7251004052734374,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00285000,2025-11-06 20:16:31+00:00,285.0,13.0,14.5,15.65,-2.6099997,-16.720049,2701.0,1186,0.7587914746093751,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00287500,2025-11-06 20:00:47+00:00,287.5,16.1,17.1,18.3,-2.0100002,-11.098842,3.0,3,0.9150399121093751,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00290000,2025-11-06 19:58:57+00:00,290.0,18.68,19.65,20.8,-1.9200001,-9.320388,1.0,6,1.0048877880859375,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00292500,2025-11-05 20:41:31+00:00,292.5,23.13,22.1,23.3,0.0,0.0,370.0,3,1.0927779736328125,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00295000,2025-11-03 15:08:13+00:00,295.0,28.68,24.6,25.85,0.0,0.0,1.0,0,1.201175869140625,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00297500,2025-11-05 20:41:31+00:00,297.5,28.11,27.1,28.3,0.0,0.0,510.0,4,1.2607458837890624,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00300000,2025-11-06 20:16:31+00:00,300.0,29.98,29.65,30.75,0.97999954,3.3793087,2710.0,7,1.3154331103515622,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00302500,2025-11-05 20:41:31+00:00,302.5,33.11,32.1,33.3,0.0,0.0,1271.0,10,1.421877890625,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00305000,2025-10-31 15:41:13+00:00,305.0,34.58,34.6,35.8,0.0,0.0,16.0,0,1.5000025,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00307500,2025-10-31 13:35:03+00:00,307.5,34.7,37.1,38.3,0.0,0.0,1.0,0,1.5761739941406248,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00310000,2025-10-31 13:46:25+00:00,310.0,39.4,39.65,40.75,0.0,0.0,2.0,0,1.62109564453125,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00315000,2025-10-31 13:38:03+00:00,315.0,44.55,44.6,45.8,0.0,0.0,2.0,0,1.7978525732421873,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00320000,2025-10-31 13:38:03+00:00,320.0,49.55,49.65,50.75,0.0,0.0,3.0,0,1.9062504687500001,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00325000,2025-10-31 13:38:03+00:00,325.0,54.55,54.6,55.8,0.0,0.0,2.0,0,2.0781298046874994,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00370000,2025-10-31 13:31:17+00:00,370.0,94.2,99.65,100.75,0.0,0.0,2.0,0,3.1210959472656246,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00375000,2025-10-31 13:53:06+00:00,375.0,103.47,104.6,105.8,0.0,0.0,3.0,0,3.2773455566406247,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00380000,2025-10-31 13:31:17+00:00,380.0,104.2,109.65,110.75,0.0,0.0,2.0,0,3.3320329199218746,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00385000,2025-10-31 13:31:17+00:00,385.0,109.2,114.6,115.8,0.0,0.0,2.0,0,3.486329409179688,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00395000,2025-10-31 13:43:28+00:00,395.0,124.45,124.6,125.8,0.0,0.0,5.0,0,3.6894539013671874,True,REGULAR,USD
